location,center_lat,center_lon,center_x,center_y
baffin_bay,75,-65,-558819.6999018297,-1535344.5070266852
barents-kara_seas,75,54,1613763.7295893377,255595.06512704346
beaufort_sea,75,-135,-1633879.4974707854,-1.0004626483850417e-10
bering_strait,65,-170,-2252871.00126016,1577477.257696421
chukchi-east_siberian_sea,75,166,-841510.1510123604,1400508.0785195564
greenland_sea,77,-10,811085.062423745,-1158349.5151987749
hudson_bay,60,-83,-2045941.7549664532,-2618686.029223734
laptev_sea,75,125,283720.19726316165,1609057.1965969198
sea_of_okhostk,58,148,-799890.9468068397,3464708.338152134
