,case_number,region,start_date,center_lon,center_lat,center_x,center_y,ice_frac,dx_km,dy_km,analyst,reviewer,satellite,visible_ice,visible_floes,estimated_cloud_fraction,cloud_category,artifacts,floe_mask,manual_path,ift_path,false_positive,false_negative,true_positive,true_negative,land_mask_path,notes
8,7,baffin_bay,2007-06-05,-64.79887635,74.75683661,-562500,-1562500,0.99,100,100,ethan,daniel,aqua,yes,yes,90%,thin,yes,yes,../data/validation_images/labeled_floes_png/007_baffin_bay_20070605_aqua.png,../data/ift_results/baffin_bay_20240124T1406Z/baffin_bay-100km_by_100km-20070605-20070606/preprocess/hdf5-files/20070605T1632.aqua.labeled_image.250m.h5,424,26083,5601,120773,../data/validation_images/landmask/007_baffin_bay_landmask.tiff,
9,7,baffin_bay,2007-06-05,-64.79887635,74.75683661,-562500,-1562500,0.99,100,100,daniel,,terra,yes,yes,90%,thin,yes,yes,../data/validation_images/labeled_floes_png/007_baffin_bay_20070605_terra.png,../data/ift_results/baffin_bay_20240124T1406Z/baffin_bay-100km_by_100km-20070605-20070606/preprocess/hdf5-files/20070605T1612.terra.labeled_image.250m.h5,545,23684,6030,122622,../data/validation_images/landmask/007_baffin_bay_landmask.tiff,
12,16,baffin_bay,2009-04-26,-69.55045239,79.75068046,-462500,-1012500,1.0,100,100,ethan,daniel,aqua,yes,yes,10%,scattered,yes,yes,../data/validation_images/labeled_floes_png/016_baffin_bay_20090426_aqua.png,../data/ift_results/baffin_bay_20240124T1406Z/baffin_bay-100km_by_100km-20090426-20090427/preprocess/hdf5-files/20090426T1038.aqua.labeled_image.250m.h5,4898,10667,2618,106268,../data/validation_images/landmask/016_baffin_bay_landmask.tiff,
13,16,baffin_bay,2009-04-26,-69.55045239,79.75068046,-462500,-1012500,1.0,100,100,daniel,,terra,yes,yes,20%,scattered,no,yes,../data/validation_images/labeled_floes_png/016_baffin_bay_20090426_terra.png,../data/ift_results/baffin_bay_20240124T1406Z/baffin_bay-100km_by_100km-20090426-20090427/preprocess/hdf5-files/20090426T1821.terra.labeled_image.250m.h5,5377,12899,1680,104495,../data/validation_images/landmask/016_baffin_bay_landmask.tiff,
20,22,baffin_bay,2013-03-08,-74.81416274,78.20371977,-637500,-1112500,1.0,100,100,ethan,daniel,aqua,yes,yes,30%,scattered,no,yes,../data/validation_images/labeled_floes_png/022_baffin_bay_20130308_aqua.png,../data/ift_results/baffin_bay_20240124T1406Z/baffin_bay-100km_by_100km-20130308-20130309/preprocess/hdf5-files/20130308T1502.aqua.labeled_image.250m.h5,19378,1850,959,59901,../data/validation_images/landmask/022_baffin_bay_landmask.tiff,
21,22,baffin_bay,2013-03-08,-74.81416274,78.20371977,-637500,-1112500,1.0,100,100,daniel,,terra,yes,yes,10%,scattered,no,yes,../data/validation_images/labeled_floes_png/022_baffin_bay_20130308_terra.png,../data/ift_results/baffin_bay_20240124T1406Z/baffin_bay-100km_by_100km-20130308-20130309/preprocess/hdf5-files/20130308T1756.terra.labeled_image.250m.h5,20589,2147,701,58651,../data/validation_images/landmask/022_baffin_bay_landmask.tiff,
22,23,baffin_bay,2014-03-29,-55.92280472,70.09851434,-412500,-2137500,1.0,100,100,ethan,daniel,aqua,yes,yes,80%,opaque,no,yes,../data/validation_images/labeled_floes_png/023_baffin_bay_20140329_aqua.png,../data/ift_results/baffin_bay_20240124T1406Z/baffin_bay-100km_by_100km-20140329-20140330/preprocess/hdf5-files/20140329T1625.aqua.labeled_image.250m.h5,8200,10913,2665,109771,../data/validation_images/landmask/023_baffin_bay_landmask.tiff,
23,23,baffin_bay,2014-03-29,-55.92280472,70.09851434,-412500,-2137500,1.0,100,100,daniel,,terra,yes,yes,80%,thin,no,yes,../data/validation_images/labeled_floes_png/023_baffin_bay_20140329_terra.png,../data/ift_results/baffin_bay_20240124T1406Z/baffin_bay-100km_by_100km-20140329-20140330/preprocess/hdf5-files/20140329T1607.terra.labeled_image.250m.h5,7717,12340,2804,108688,../data/validation_images/landmask/023_baffin_bay_landmask.tiff,
28,32,baffin_bay,2019-05-23,-84.2321111,73.86538925,-1112500,-1362500,1.0,100,100,ethan,daniel,aqua,yes,yes,0%,none,yes,yes,../data/validation_images/labeled_floes_png/032_baffin_bay_20190523_aqua.png,../data/ift_results/baffin_bay_20240124T1406Z/baffin_bay-100km_by_100km-20190523-20190524/preprocess/hdf5-files/20190523T1758.aqua.labeled_image.250m.h5,23062,14905,790,69229,../data/validation_images/landmask/032_baffin_bay_landmask.tiff,
29,32,baffin_bay,2019-05-23,-84.2321111,73.86538925,-1112500,-1362500,1.0,100,100,daniel,,terra,yes,yes,10%,scattered,no,yes,../data/validation_images/labeled_floes_png/032_baffin_bay_20190523_terra.png,../data/ift_results/baffin_bay_20240124T1406Z/baffin_bay-100km_by_100km-20190523-20190524/preprocess/hdf5-files/20190523T1739.terra.labeled_image.250m.h5,23098,15873,816,68199,../data/validation_images/landmask/032_baffin_bay_landmask.tiff,
